CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_level,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Amt,Total_Trans_Ct,new,new2
818906208,Existing Customer,32,M,A,0,High School,Unknown,$60K - $80K,Silver,27,2,2,29081,1396,1538,36,High School $60K - $80K,21
713901108,Existing Customer,37,M,C,2,High School,Single,$60K - $80K,Blue,29,6,4,14575,0,3444,80,High School $60K - $80K,21
709513458,Existing Customer,49,M,D,3,High School,Unknown,$60K - $80K,Blue,36,3,2,9551,1833,3213,52,High School $60K - $80K,21
711421233,Existing Customer,51,M,D,3,High School,Single,$60K - $80K,Blue,43,5,3,7119,1513,4969,84,High School $60K - $80K,21
714037308,Existing Customer,54,M,C,2,High School,Married,$60K - $80K,Blue,50,3,3,2210,1002,4798,86,High School $60K - $80K,21
708568983,Existing Customer,40,M,D,3,High School,Married,$60K - $80K,Blue,28,2,1,11476,2365,8110,113,High School $60K - $80K,21
716004258,Existing Customer,45,M,E,4,High School,Single,$60K - $80K,Blue,35,1,3,8449,2092,17634,120,High School $60K - $80K,21
818770008,Existing Customer,49,F,F,5,Graduate,Single,Less than $40K,Blue,44,6,2,8256,864,1291,33,Graduate Less than $40K,17
814995933,Existing Customer,58,F,D,3,Graduate,Married,Less than $40K,Blue,53,5,2,5798,1794,1724,45,Graduate Less than $40K,17
787599258,Existing Customer,55,F,D,3,Graduate,Single,Less than $40K,Blue,29,6,2,7361,1309,1175,34,Graduate Less than $40K,17
711466533,Existing Customer,43,F,C,2,Graduate,Married,Less than $40K,Blue,33,5,2,3933,852,1489,45,Graduate Less than $40K,17
788701608,Existing Customer,42,F,E,4,Graduate,Single,Less than $40K,Blue,26,5,3,2950,1705,1260,32,Graduate Less than $40K,17
708098133,Existing Customer,32,F,A,0,Graduate,Married,Less than $40K,Blue,19,6,0,2834,1418,1598,39,Graduate Less than $40K,17
770937183,Existing Customer,40,F,E,4,Graduate,Single,Less than $40K,Silver,27,3,2,10745,2084,3502,87,Graduate Less than $40K,17
720580383,Existing Customer,50,F,D,3,Graduate,Married,Less than $40K,Blue,37,3,4,1438.3,0,3637,80,Graduate Less than $40K,17
719655258,Existing Customer,64,M,A,0,Graduate,Single,Less than $40K,Blue,36,3,4,3196,0,3412,72,Graduate Less than $40K,17
720527058,Existing Customer,39,F,B,1,Graduate,Single,Less than $40K,Blue,24,4,3,2310,1306,4343,74,Graduate Less than $40K,17
721522533,Existing Customer,48,F,E,4,Graduate,Single,Less than $40K,Blue,35,6,2,2005,1143,4311,70,Graduate Less than $40K,17
794653983,Existing Customer,44,F,D,3,Graduate,Married,Less than $40K,Blue,27,3,4,1480,1017,5245,80,Graduate Less than $40K,17
779447358,Existing Customer,50,F,C,2,Graduate,Married,Less than $40K,Blue,32,3,4,2884,2104,4486,93,Graduate Less than $40K,17
719849958,Existing Customer,44,F,E,4,Graduate,Single,Less than $40K,Blue,36,4,3,2658,1884,4779,83,Graduate Less than $40K,17
710555433,Attrited Customer,42,F,E,4,Graduate,Single,Less than $40K,Blue,36,6,2,2803,0,2216,40,Graduate Less than $40K,17
716313858,Existing Customer,53,F,D,3,Graduate,Married,Less than $40K,Blue,36,6,0,3319,913,4560,84,Graduate Less than $40K,17
780222408,Existing Customer,49,F,F,5,Graduate,Unknown,Less than $40K,Blue,36,1,2,3272,2085,4444,83,Graduate Less than $40K,17
771546708,Existing Customer,46,F,C,2,Graduate,Single,Less than $40K,Blue,34,2,1,1438.3,0,5013,81,Graduate Less than $40K,17
710260983,Existing Customer,51,F,E,4,Graduate,Divorced,Less than $40K,Blue,36,2,2,2984,2512,8296,91,Graduate Less than $40K,17
767695083,Existing Customer,50,M,C,2,Graduate,Married,$80K - $120K,Blue,44,3,0,4589,0,1590,37,Graduate $80K - $120K,16
710043408,Existing Customer,49,M,D,3,Graduate,Married,$80K - $120K,Blue,37,4,4,15610,2048,1916,58,Graduate $80K - $120K,16
719688408,Existing Customer,45,M,D,3,Graduate,Married,$80K - $120K,Silver,36,6,3,34516,0,3530,68,Graduate $80K - $120K,16
