college,toeic_total,toeic_listening,toeic_year
Management,745,400,2018
Management,765,400,2020
Management,775,430,2021
Science,,,
Science,,,
Science,,,
Management,750,400,2018
Management,880,450,2018
Management,,,
Science,900,480,2020
Management,670,300,2019
Management,,,
SocialScience,850,410,2019
Science,,,
Management,605,260,2018
Engineering,660,330,2019
Science,900,450,2019
Science,,,
Engineering,,,
Management,850,495,2019
Management,905,480,2019
Management,685,300,2018
Management,915,490,2020
Ocean,670,300,2020
Management,845,450,2021
Management,,,
Ocean,,,
Science,,,
Management,800,410,2020
Management,700,200,2010
Management,895,450,2021
Management,780,300,2018
Management,,,
西灣學院,600,300,2020
Ocean,670,350,2019
Management,,,
SocialScience,770,350,2019
Management,,,
Management,,,
Management,795,300,2019
Management,830,380,2019
Management,810,430,2020
Management,725,365,2019
Management,740,380,2019
SocialScience,700,350,2020
Management,825,395,2020
Management,990,495,2020
Engineering,735,280,2019
Science,,,
Management,680,340,2019
Management,,,
Science,,,
Management,695,300,2019
Management,,,
Management,690,465,2019
Management,745,375,2015
SocialScience,700,350,2020
Management,,,
Engineering,695,345,2019
Engineering,650,350,2018
Science,720,359,2020
Management,710,325,2021
Engineering,,,
Ocean,735,350,2020
Ocean,850,450,2021
Ocean,715,400,2020
Management,770,350,2019
Art,715,345,2019
Ocean,835,440,2020
SocialScience,795,420,2018
SocialScience,695,410,2019
Management,795,400,2021
Management,835,425,2020
Science,825,390,2018
Science,,,
Science,,,
Science,625,275,2020
Management,700,380,2021
SocialScience,860,450,2013
Science,625,375,2020
西灣學院,,,
Management,,,
SocialScience,630,315,2017
Management,710,355,2020
Management,895,460,2018
Management,845,430,2016
Science,810,415,2020
Art,650,430,2019
SocialScience,445,225,2020
Management,,,
Management,865,450,2019
Management,765,415,2019
Ocean,860,430,2019
Management,900,465,2020
Management,790,380,2020
Art,860,480,2018
Management,625,350,2020
Science,715,350,2019
Engineering,830,430,2019
Engineering,630,335,2020
Science,755,400,2019
Management,745,455,2018
Management,650,350,2020
Management,,,
Management,940,495,2019
Science,550,275,2019
Art,,,
SocialScience,810,400,2019
Art,825,425,2019
Management,,,
Engineering,760,320,2019
Ocean,595,290,2020
Science,,,
Management,890,435,2019
Science,780,400,2020
Ocean,,,
Ocean,,,
Engineering,,,
Engineering,825,435,2019
Management,840,440,2018
SocialScience,,,
Management,755,375,2017
Ocean,650,350,2018
Ocean,660,265,2018
Management,,,
Ocean,,,
Management,835,460,2019
Engineering,,,
SocialScience,745,390,2020
Management,805,430,2019
Management,,,
Engineering,,,
Management,,,
Management,,,
Management,830,450,2010
SocialScience,,,
SocialScience,,,
Engineering,695,285,2019
Engineering,765,330,2018
Management,700,315,2021
Art,895,475,2019
Art,900,450,2019
Engineering,755,400,2019
SocialScience,880,480,2020
Science,,,
Engineering,,,
Art,,,
Art,,,
Management,800,380,2017
SocialScience,665,330,2020
Ocean,670,350,2019
Art,970,495,2021
Art,,,
Art,980,490,2019
Art,890,495,2020
Art,820,400,2021
Ocean,880,800,2017
Art,970,495,2021
Art,,,
Engineering,,,
Ocean,,,
Management,0,0,2021
Engineering,675,350,2020
Engineering,,,
Engineering,650,325,2018
Management,740,380,2020
Engineering,950,495,2019
Art,750,390,2017
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Management,885,485,2017
Management,830,430,2019
Art,,,
Art,,,
Art,,,
Art,790,450,2019
Engineering,620,360,2019
Art,,,
Art,,,
Art,,,
Art,,,
Art,,,
Engineering,770,400,2020
Management,920,485,2017
Art,,,
Ocean,405,205,2017
西灣學院,730,325,2019
Art,,,
Management,750,370,2020
Engineering,850,420,2019
Engineering,895,450,2020
Engineering,715,420,2017
Art,,,
Management,880,450,2019
Management,985,495,2015
Art,,,
Engineering,830,0,2018
Management,875,455,2018
Engineering,750,380,2020
Engineering,,,
Management,860,450,2020
Engineering,,,
Engineering,,,
Science,550,150,2021
Management,830,400,2021
Management,885,460,2017
Management,,,
Ocean,,,
Management,770,350,2019
Science,810,455,2019
Art,515,240,2018
Management,,,
Science,830,430,2018
Science,650,340,2017
Science,,,
Science,770,385,2019
Ocean,,,
Engineering,,,
Science,640,320,2019
Engineering,,,
Science,,,
Ocean,845,430,2019
Art,,,
Science,885,460,2020
Ocean,,,
Science,350,345,2019
Engineering,830,400,2019
Ocean,,,
Management,825,450,2020
Engineering,825,425,2020
Management,700,350,2018
Management,,,
Engineering,500,290,2020
Art,,,
Management,880,440,2020
Ocean,800,435,2020
Management,790,400,2016
SocialScience,855,465,2018
Engineering,510,230,2019
Ocean,695,345,2018
Management,,,
Management,850,425,2021
Management,680,370,2019
Engineering,698,300,2019
Engineering,600,350,2018
Engineering,945,460,2020
Engineering,,,
Engineering,930,470,2020
Science,750,435,2018
西灣學院,,,
西灣學院,,,
Art,955,495,2019
Science,,,
SocialScience,560,265,2020
Engineering,,,
Ocean,,,
Management,,,
Ocean,730,260,2020
Ocean,800,475,2019
Ocean,615,300,2019
Management,730,365,2019
SocialScience,860,455,2020
Science,650,350,2019
Ocean,830,400,2020
Engineering,,,
Science,,,
Ocean,515,250,2019
Ocean,,,
Ocean,750,420,2018
Ocean,,,
SocialScience,,,
Ocean,750,310,2019
Science,855,445,2019
Management,,,
Ocean,845,450,2019
Management,860,430,2010
Engineering,625,375,2021
SocialScience,825,400,2020
Management,800,390,2019
Art,945,495,2020
Art,,,
SocialScience,630,315,2018
